_id,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,_fp,latitude,longitude,has_free_parking,free_daytime,free_halfday,free_time_ranges,has_short_term_parking,is_very_visitor_friendly,has_height_restriction,has_big_vehicle_restrictions
69,A47,BLK 562/565/560 ANG MO KIO STREET 54,30885.475,39174.8899,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,b7b25c529185c1027305a4d50b6f7e87bc7435f0a177c1b7d552c2838dbc3118,1.3705581670513376,103.85924660891077,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
70,A48,BLK 571/73 ANG MO KIO STREET 51,30374.18,39154.22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,0ca862cb4dcc22bee50eba5f828f04365d46bced0ddba2e9131bbadbb1234269,1.370371281457812,103.85465226092984,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
71,A49,BLK 555/559 ANG MO KIO STREET 54,30724.16,39260.19,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,9f1ad12db6643edf44c75148bb000570aa6205f66313c60281e9149d1419e5e1,1.37132960595493,103.85779708766381,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
72,A50,BLK 548/552/556 ANG MO KIO STREET 54,30703.29,39392.09,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,91c7528151e80619c12e44bde6c6e812e7cdd9f65052939bfdddf2df1b92c195,1.3725224642422473,103.85760956795286,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
73,A51,BLK 252/253A ANG MO KIO STREET 21,28117.6053,39054.6321,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,1,0,5.4,0,6be9e6facb3e67f015282eab003cc03e1b344396deab93fe5b267b44408b320a,1.3694707392934409,103.83437534502293,0,0,0,,1,0,1,0
74,A52,BLK 701/716 ANG MO KIO AVENUE 3/6,29513.9566,39155.7785,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,eb8e7a0c191b21269b0bb143c6ff4c59f3932ba64d0db574503a5f6ab91dab61,1.3703854326512566,103.84692254711774,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
75,A52L,BLK 700B/ 700C ANG MO KIO AVENUE 3/6,29426.2389,39033.615,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,0,0,4.5,0,4bb1e22b7de8d105c4bd3a5efcba651b2a11e996f55ca1a2fa56ec489a9e795e,1.369280633982194,103.84613433583942,0,0,0,,0,0,1,0
76,A53,BLK 712A ANG MO KIO AVENUE 3/6,29508.9218,39208.8091,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,14,1.8,0,1f05955845a0de69153e688e958043f978de3c00676521ab4904e1cbd8369b4d,1.3708650227001158,103.84687730858236,1,1,0,"[""7AM-10.30PM""]",1,1,1,1
77,A54,BLK 727/728 ANG MO KIO AVENUE 6,29401.8671,39382.3378,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,49b4528a7f620183cf07bbbdf2d2c9a0298a8642fc3add8c7bd41f3ad9922a36,1.3724343595097768,103.8459153545853,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
78,A55,BLK 729/730 ANG MO KIO AVENUE 6/8,29464.1325,39466.0892,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,400fa6f5950cc07936b2fb637496c59f68934ab3bd5806a373762e05c7eadff1,1.3731917741948454,103.84647485774163,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
79,A56,BLK 725/730 ANG MO KIO AVENUE 8,29538.847,39411.5653,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,7e9621518a40ac082e0ccaeaab12969c97b96926d55f24ccedafae2fa85f72f2,1.3726986757337116,103.84714621818317,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
